keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
is tiktok shop legit,5400,3600.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",37,2025-06-01,4133
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",38,2025-07-01,4467
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",39,2025-08-01,4800
is tiktok shop legit,5400,6600.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",40,2025-09-01,5800
is tiktok shop legit,5400,6600.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",41,2025-10-01,6200
is tiktok shop legit,5400,8100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",42,2025-11-01,7100
is tiktok shop legit,5400,8100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",43,2025-12-01,7600
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",44,2026-01-01,7200
is tiktok shop legit,5400,4400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",45,2026-02-01,5967
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",46,2026-03-01,5067
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",47,2026-04-01,5067
is tiktok shop legit,5400,5400.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",48,2026-05-01,5400
is whatnot app legit,1300,50.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",1,2022-06-01,50
is whatnot app legit,1300,20.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",2,2022-07-01,35
is whatnot app legit,1300,50.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",3,2022-08-01,40
is whatnot app legit,1300,40.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",4,2022-09-01,37
is whatnot app legit,1300,40.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",5,2022-10-01,43
is whatnot app legit,1300,30.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",6,2022-11-01,37
is whatnot app legit,1300,90.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",7,2022-12-01,53
is whatnot app legit,1300,110.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",8,2023-01-01,77
is whatnot app legit,1300,140.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",9,2023-02-01,113
is whatnot app legit,1300,140.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",10,2023-03-01,130
is whatnot app legit,1300,40.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",11,2023-04-01,107
is whatnot app legit,1300,50.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",12,2023-05-01,77
is whatnot app legit,1300,70.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",13,2023-06-01,53
is whatnot app legit,1300,70.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",14,2023-07-01,63
is whatnot app legit,1300,70.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",15,2023-08-01,70
is whatnot app legit,1300,40.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",16,2023-09-01,60
is whatnot app legit,1300,50.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",17,2023-10-01,53
